study_id,title,status,phase,enrollment
NCT06393530,Erector Spinae Plane Block for Cervical Spine Surgery,COMPLETED,PHASE4,60.0
NCT06920901,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics (PK), and Immunogenicity of APG777 in Adults With Asthma",ACTIVE_NOT_RECRUITING,PHASE1,31.0
NCT00630812,Long Term Administration of Inhaled Mannitol in Cystic Fibrosis,COMPLETED,PHASE3,318.0
NCT05257512,Phase I/II Study of SY-3505 in Patients With ALK-positive Advanced Non-small Cell Lung Cancer,UNKNOWN,PHASE1,150.0
NCT04693312,"Injection of Dorsal Scapular n at Different Levels, Dose it Make Difference?",COMPLETED,PHASE2,60.0
NCT07128212,Atorvastatin Mitigates WMH-Related Cognitive Impairment by Reducing VCAM-1,COMPLETED,NA,401.0
NCT00615381,Supraphysiologic Insulin to Improve Outcomes After Surgical Treatment of Unruptured Cerebral Aneurysms,WITHDRAWN,NA,0.0
NCT04493281,Bioequivalence Study of Oral Suspension and Intravenous Formulation of Edaravone in Healthy Adult Subjects,COMPLETED,PHASE1,42.0
NCT03916081,Safety and Efficacy of ARQ-151 Cream in Adolescents and Adults With Atopic Dermatitis,COMPLETED,PHASE2,136.0
NCT03501381,High Dose IL 2 and Entinostat in RCC,ACTIVE_NOT_RECRUITING,PHASE2,46.0
NCT00684567,Temozolomide Phase II Clinical Study in Patients With Newly Diagnosed Glioblastoma Multiforme (Study P04661)(COMPLETED),COMPLETED,PHASE2,30.0
NCT00151567,Evaluation of Tamsulosin in the Treatment of Ureteral Stones,COMPLETED,PHASE3,129.0
NCT00566267,"A Randomized, Double-Blinded Study of Simvastatin 20 mg/Day Versus Vytorin 10/20 in Subjects With Lipid Profiles Not Meeting Current NCEP Guidelines, Following a Low-Carbohydrate Diet",COMPLETED,PHASE2,58.0
NCT00494767,Investigation Of Weight Loss And Body Composition Changes After Dosing With Either Placebo Or One Of Two Active Drugs,COMPLETED,PHASE1,27.0
NCT06027567,"The Effect of an Anti-obesity Drug, Semaglutide, as Treatment in New-onset Idiopathic Intracranial Hypertension (IIH) Compared to Standard Weight Management (Dietician) With Regards to Change in Weight and Intracranial Pressure",COMPLETED,PHASE4,38.0
NCT00265967,Irbesartan in Hypertension,COMPLETED,PHASE4,88.0
NCT02074800,A Study to Assess the Safety and Pharmacokinetics of a Single Intravenous Administration of CNTO 328 Derived From 2 Different Cell Lines in Healthy Participants,COMPLETED,PHASE1,145.0
NCT01865500,Two Different Dosages of Nebulized Steroid Versus Parenteral Steroid in the Management of COPD Exacerbations,COMPLETED,PHASE4,100.0
NCT00100607,Safety and Efficacy of AAE581 in Postmenopausal Women With Osteoporosis,COMPLETED,PHASE2,676.0
NCT03112707,Bioresorbable Polymer-Coated EES in Patients at High Bleeding Risk Undergoing PCI Followed by 1-Month DAPT,UNKNOWN,PHASE4,1023.0
NCT07197307,Combining Loncastuximab Tesirine and Epcoritamab in Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL),NOT_YET_RECRUITING,PHASE2,120.0
NCT03301207,"A Study to Evaluate the Effect of Ibrutinib on the Pharmacokinetics of Oral Contraceptives, CYP2B6, and CYP3A4 Substrates in Female Participants With B Cell Malignancy",COMPLETED,PHASE1,25.0
NCT03385200,KVUS at Neoadjuvant CTx of Breast Cancer,UNKNOWN,PHASE3,60.0
NCT06136507,Study of Efficacy and Safety of FRSW107 in Pediatric Patients With Severe Hemophilia A,NOT_YET_RECRUITING,PHASE3,76.0
NCT07294092,Ketamine and Propofol NeuroImaging,RECRUITING,EARLY_PHASE1,60.0
NCT05279092,Yale Steroid Enhanced Versus Exparel Nerveblock TKA RCT Study,RECRUITING,PHASE2,250.0
NCT06560892,Comparison of Intraperitoneal Bupivacaine Alone or With Dexmedetomidine,COMPLETED,NA,68.0
NCT05222971,Olaparib With or Without Durvalumab for DDR Gene Mutated Biliary Tract Cancer Following Platinum-based Chemotherapy,RECRUITING,PHASE2,62.0
NCT04465071,Lubricating Eye Drops After Routine Cataract Surgery,COMPLETED,NA,79.0
NCT03729271,Hydrogen Breath Test an Instrument to Predict Rifaximin-Response in Irritable Bowel Syndrome Predominant Diarrhea,COMPLETED,PHASE4,148.0
NCT02258971,Metabolism and Pharmacokinetics of [14C] BEA 2180 BR Administered Orally Compared to [14C] BEA 2180 BR Administered Intravenously in Healthy Male Volunteers,COMPLETED,PHASE1,14.0
NCT00506571,"Phase II Study of Irinotecan,Oxaliplatin Plus TS-1 in Untreated Metastatic Colorectal Cancer",UNKNOWN,PHASE2,42.0
NCT01766336,A 36-Week Safety Extension Study of ELND005 as a Treatment for Agitation and Aggression in Alzheimer's Disease,TERMINATED,PHASE2,296.0
NCT05551936,A Study of Tazemetostat With Rituximab and Abbreviated Bendamustine in the Frontline Treatment of High Tumor Burden Follicular Lymphoma,ACTIVE_NOT_RECRUITING,PHASE1,42.0
NCT03268811,A Study in Japanese Children With Short Bowel Syndrome Who Completed SHP633-302,COMPLETED,PHASE3,9.0
NCT02784171,Pembrolizumab in Patients With Advanced Malignant Pleural Mesothelioma,COMPLETED,PHASE2,520.0
NCT02070471,"Phase 2 Study to Evaluate the Efficacy, Safety and PK of Intravenous Single Injection LC28-0126 Immediately Before PCI in STEMI Patients",COMPLETED,PHASE2,60.0
NCT00745771,"Multiple Dose, Double-Blind, Placebo and Active Controlled Study of Pharmacokinetics of Diractin® as Well as Safety and Efficacy for the Treatment of Muscle Soreness",COMPLETED,PHASE2,168.0
NCT00140244,"Randomized, Placebo-Controlled Study of Leptin for the Treatment of HIV Lipodystrophy and Metabolic Syndrome",COMPLETED,PHASE2,7.0
NCT00904462,Pilot Study of Lidocaine 5% Patch Versus Placebo in Patients With Osteoarthritis Pain of the Knee,COMPLETED,PHASE2,224.0
NCT02662062,Pembrolizumab With Chemoradiotherapy as Treatment for Muscle Invasive Bladder Cancer,COMPLETED,PHASE2,28.0
NCT05226546,Effectiveness and Safety of Platelet Rich Plasma (PRP) on Persistent Olfactory Dysfunction Related to COVID-19,COMPLETED,PHASE2,56.0
NCT01617746,Examination of the Bronchoprotective Effect of Endothelin Receptor Blockade in Asthma,UNKNOWN,PHASE2,18.0
NCT06954246,A Study of MHB088C Injection Versus Treatment of Physician's Choice in Subjects With Relapsed Small Cell Lung Cancer,RECRUITING,PHASE3,450.0
NCT04374188,Efficacy of Ciprofloxacin Therapy in Avoidance of Sepsis in Patient Undergoing Percutanous Nephrolithotomy,UNKNOWN,NA,200.0
NCT01388088,The Effect of Amiloride and Spironolactone in Patients With Hypertension,COMPLETED,PHASE4,23.0
NCT06922903,Phase III Clinical Trial to Evaluate INR101 Injection for PET/CT Imaging in Patients With Prostate Cancer.,NOT_YET_RECRUITING,PHASE3,240.0
NCT00402103,An Assessment of Long Term Safety of the Combination of Aliskiren / Amlodipine in Patients With High Blood Pressure,COMPLETED,PHASE3,556.0
NCT00378703,"Bevacizumab, Sorafenib Tosylate, and Temsirolimus in Treating Patients With Metastatic Kidney Cancer",COMPLETED,PHASE2,361.0
NCT00679627,A Study of Galantamine Used to Treat Patients With Mild to Moderate Alzheimer's Disease,TERMINATED,PHASE3,2051.0
NCT02500927,A Study of ASP8273 in Epidermal Growth Factor Receptor (EGFR) Tyrosine Kinase Inhibitor-Naïve Patients With Non-Small Cell Lung Cancer Harboring EGFR Mutations,TERMINATED,PHASE2,31.0
NCT02549027,A Study to Evaluate the Effects of Single Doses of MK-1064 and MK-6096 on Polysomnography (PSG) (MK-1064-003),COMPLETED,PHASE1,20.0
NCT01362361,"TRICC-C (AIO-KRK-0111): BIBF 1120 Versus Placebo in Patients Receiving Oxaliplatin Plus Fluorouracil and Leucovorin (mFOLFOX6) for Advanced, Chemorefractory Metastatic Colorectal Cancer (mCRC)",COMPLETED,PHASE2,54.0
NCT01791842,TOCILIZUMAB IN FIBROUS DYSPLASIA OF BONE,COMPLETED,PHASE2,19.0
NCT02201342,Pharmacokinetic/Pharmacodynamic Study of Udenafil in Adolescents,COMPLETED,PHASE1,36.0
NCT06925386,The Relationship Between Microbioma Balance and Acne Vulgaris as a New Acne Treatment,NOT_YET_RECRUITING,PHASE2,64.0
NCT03063086,Assess Bronchodilator Effect and Safety of Two Doses of QVM149 Compared to a Fixed Dose Combination of Salmeterol/Fluticasone in Patients With Asthma.,COMPLETED,PHASE2,116.0
NCT00157586,Delapril and Manidipine for Nephroprotection in Diabetes (DEMAND),COMPLETED,PHASE3,342.0
NCT04482270,A Study to Investigate the Effect of Mild and Moderate Hepatic Impairment on the Safety and Tolerability of Fezolinetant Compared to Participants With Normal Hepatic Function,COMPLETED,PHASE1,26.0
NCT05971173,Nutritional Optimization and Bone Health Management for Older Adults Undergoing Hip Fracture Surgery,COMPLETED,EARLY_PHASE1,40.0
NCT06358573,Intratumoral INT230-6 Followed by Neoadjuvant Immuno-chemotherapy in Patients With Early TNBC. INVINCIBLE-4-SAKK,RECRUITING,PHASE2,61.0
NCT04421469,Triprilimab(JS001) and Chemotherapy Combined With Local Treatment for Multiple Metastatic NPC,UNKNOWN,PHASE2,39.0
NCT02292069,Bioavailability Study of Amlodipine Besylate/Atorvastatin Calcium Tablets 10/80 mg Under Fed Condition,COMPLETED,PHASE1,90.0
NCT05116969,A Phase 1 Study of PTX-35 in Healthy Volunteers,WITHDRAWN,PHASE1,0.0
NCT02593383,Compound Adapalene and Clindamycin Hydrochloride Gel in Treatment of Patients With Acne,COMPLETED,PHASE1,245.0
NCT04131283,Evidence of Spreading Vasoconstriction in Human Gingiva,COMPLETED,NA,29.0
NCT01948583,Humectant Activity of a New Formulation of Gynomunal® Vaginalgel,COMPLETED,PHASE4,28.0
NCT06791083,Clinical Study of Envafolimab Combined With Fruquintinib and Chemotherapy for Neoadjuvant Treatment of Gastric Cancer,RECRUITING,PHASE2,40.0
NCT00343083,"Evaluation of Cetuximab (ERBITUX) and Concurrent Carboplatin, Paclitaxel & Radiotherapy in the Management of Patients With Advanced Locoregional Squamous Cell Carcinomas of the Head and Neck (GCC 0442)",COMPLETED,PHASE2,43.0
NCT04746183,AGILE (Early Phase Platform Trial for COVID-19),RECRUITING,PHASE1,600.0
NCT07245069,Use of Dapagliflozin in Primary Prevention of Cardiotoxicity of Anthracycline Chemotherapy in Breast Cancer Patients,RECRUITING,PHASE2,100.0
NCT02398669,A Single Dose Pharmacokinetic Study of Lorcaserin Hydrochloride in Obese Pediatric Subjects 6 to 11 Years of Age,COMPLETED,PHASE1,10.0
NCT00060905,An Inpatient Study of the Effectiveness and Safety of Depakote ER in the Treatment of Mania/Bipolar Disorder,COMPLETED,PHASE3,370.0
NCT02221505,Phase 1 Study of LOP628 in Adult Patients With cKit-positive Solid Tumors and Acute Myeloid Leukemia,TERMINATED,PHASE1,3.0
NCT00078494,Peptide Vaccine to Prevent Recurrence of Nasopharyngeal Cancer,COMPLETED,PHASE1,99.0
NCT03996694,"Single Dose Crossover Study to Compare the Respiratory Drive After Administration of Belbuca, Oxycodone and Placebo.",COMPLETED,PHASE1,19.0
NCT05169866,Nifekalant Versus Amiodarone in New-Onset Atrial Fibrillation After Cardiac Surgery,UNKNOWN,PHASE3,274.0
NCT05480566,Functional Strength Training and Neuromuscular Electrical Stimulation in Severe Acute Exacerbations of COPD,TERMINATED,NA,35.0
NCT04603066,Tariquidar-ondansetron Combination in Neuropathic Pain,COMPLETED,PHASE1,24.0
NCT03429556,Study to Evaluate Botulinum Neurotoxin Serotype E (EB-001) in Reducing Musculoskeletal Pain in Abdominoplasty,TERMINATED,PHASE2,23.0
NCT04772456,Hyperpolarized 13C-pyruvate Metabolic MRI With Infiltrating Gliomas,RECRUITING,PHASE1,5.0
NCT02129556,"Anti-PD-1 Monoclonal Antibody in Advanced, Trastuzumab-resistant, HER2-positive Breast Cancer",COMPLETED,PHASE1,58.0
NCT01491022,A Randomized Trial to Evaluate Ampyra for Gait Impairment in Parkinson's Disease,COMPLETED,PHASE1,22.0
NCT00769522,FCR or BR in Patients With Previously Untreated B-Cell Chronic Lymphocytic Leukemia,COMPLETED,PHASE3,564.0
NCT02302456,Tranexamic Acid for Preventing Postpartum Haemorrhage Following a Vaginal Delivery,COMPLETED,PHASE3,4079.0
NCT00968422,"A Study of Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ABT-384 in Elderly Subjects",COMPLETED,PHASE1,28.0
NCT02690922,Low-dose Chemotherapy Combine With Tyrosine Kinase Inhibitor to Treat ph+ Acute Lymphoblastic Leukemia Patients,UNKNOWN,PHASE4,40.0
NCT05778422,Bupivacaine or Radiofrequency for Shoulder Pain,COMPLETED,NA,40.0
NCT07584031,Adebrelimab Plus Full-course Neoadjuvant Therapy for Resectable Locally Advanced ESCC (Phase 2),NOT_YET_RECRUITING,PHASE2,200.0
NCT01591031,Laryngeal Injuries After Anesthesia Induction With Sevoflurane and After Anesthesia Induction With Rocuronium,COMPLETED,NA,60.0
NCT01614431,N Acetyl Cysteine for Cystinosis Patients,COMPLETED,PHASE4,23.0
NCT06833931,A Study of PGN-EDO51 or Placebo in People With Duchenne Muscular Dystrophy Amenable to Exon 51-Skipping Treatment,WITHDRAWN,PHASE2,0.0
NCT01643031,Effect of Modifying Anti-platelet Treatment to Ticagrelor in Patients With Diabetes and Low Response to Clopidogrel,UNKNOWN,PHASE4,500.0
NCT00822731,Samsung Medical Center-Lymphoma Cohort Study,COMPLETED,NA,953.0
NCT01727531,IDO2 Genetic Status Informs the Neoadjuvant Efficacy of Chloroquine (CQ) in Brain Metastasis Radiotherapy,COMPLETED,NA,20.0
NCT01009931,Phase II Study of TPA Plus Dexamethasone & CMT in Hematologic Malignancies,TERMINATED,PHASE2,1.0
NCT04124731,Combination Therapy of Sintilimab and Anlotinib as a First-line Treatment in Advanced NSCLC (SUNRISE),UNKNOWN,PHASE2,98.0
NCT02740231,A Study on Visco-antalgic Intra-articular Administration in Symptomatic Knee Osteoarthritis,COMPLETED,PHASE2,173.0
NCT03843931,Saline Injections vs Education and Exercise in Knee Osteoarthritis,COMPLETED,PHASE2,206.0
NCT03361631,Intracavernous Injection of Autologous Mesenchymal Stem Cells in the Treatment of Erectile Dysfunction Resistant to Oral Treatment in Patients With Type I Diabetes,UNKNOWN,PHASE1,13.0
NCT01971853,Does Preventive Analgesia Improve the Outcome of Demerol-Vistaril Procedural Sedations in Pediatric Dentistry,TERMINATED,NA,88.0
NCT04328753,The Effect of SOW Mouthwash on the Level of IL_1β in GCF and Some Clinical Periodontal Parameters for Patients With Gingivitis,UNKNOWN,PHASE1,45.0
NCT01084551,Study of SPM 962 in Patients With Restless Legs Syndrome (RLS),COMPLETED,PHASE3,284.0
NCT00171951,Extension Study to Assess the Safety and Efficacy of Pasireotide in Participants With Cushing's Disease,COMPLETED,PHASE2,19.0
NCT01901653,Rovalpituzumab Tesirine (SC16LD6.5) in Recurrent Small Cell Lung Cancer,COMPLETED,PHASE1,82.0
NCT02502253,BDPP Treatment for Mild Cognitive Impairment (MCI) and Prediabetes or Type 2 Diabetes Mellitus (T2DM),COMPLETED,PHASE1,14.0
NCT05467553,A Study to Compare P1101 Plus TAF With or Without UDCA in Patients With HBV and HDV Co-Infection,UNKNOWN,PHASE2,30.0
NCT01960153,Phosphodiesterase Type 5 Inhibition With Tadalafil Changes Outcomes in Heart Failure: Extent of Renal Damage,WITHDRAWN,PHASE3,0.0
NCT07470853,A Study of MUC16-Directed Antibody Drug Conjugate HWK-016 in Participants With Advanced Solid Tumors.,RECRUITING,PHASE1,265.0
NCT03100253,Rheumatoid Arthritis Treatment After First Anti-TNF INvestiGation,TERMINATED,PHASE4,208.0
NCT01451853,SPI-1005 for Prevention and Treatment of Chemotherapy Induced Hearing Loss,WITHDRAWN,PHASE2,0.0
NCT03098953,"Evaluation of the Safety, Systemic Pharmacokinetics, and Tolerability of Single and Repeat Ocular Installations",COMPLETED,PHASE1,15.0
NCT02902653,Efficacy and Safety of Hourly Titrated Misoprostol Versus Vaginal Dinoprostone and Misoprostol for Cervical Ripening and Labor Induction,UNKNOWN,PHASE4,372.0
NCT00745953,Regression of Fatty Heart by Valsartan Therapy,WITHDRAWN,PHASE4,0.0
NCT02698553,"A Study to Evaluate Pharmacokinetics, Safety and Tolerability of Extended-release Bupropion Hydrochloride Tablets in Chinese Healthy Volunteers",COMPLETED,PHASE1,16.0
NCT00193245,Oral Topotecan Versus Docetaxel in Second-Line Treatment of Non-Small Cell Lung Cancer,COMPLETED,PHASE2,80.0
NCT03280745,Hypertonic Saline for Fluid Resuscitation After Cardiac Surgery,COMPLETED,PHASE4,165.0
NCT05155345,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Subcutaneously Administered Mosunetuzumab to Participants With Systemic Lupus Erythematosus",COMPLETED,PHASE1,15.0
NCT07115745,"A Study of Healthy Donor CD19-targeted Allogeneic CAR T Cells in Participants With Severe, Refractory Autoimmune Diseases",RECRUITING,PHASE1,125.0
NCT00416845,Effects of FTY720 on Heart and Lung Functions in Healthy Volunteers,COMPLETED,PHASE1,39.0
NCT05595772,Comparison of Two Different Types of Platelet Concentrate to Augment Bone Around Immediate Dental Implant,COMPLETED,NA,20.0
NCT03431272,Use of 5.0% Lifitegrast Ophthalmic Solution for the Treatment of Dry Eye Disease in Contact Lens Wearers,WITHDRAWN,PHASE4,0.0
NCT00822172,Evaluation of Cilostazol in Combination With L-Carnitine,COMPLETED,PHASE4,164.0
NCT01577472,Efficacy Study Comparing the Effect of Clomiphencitrate to an Antagonist Protocol,COMPLETED,PHASE4,117.0
NCT04181372,A Study of Neoadjuvant Chemotherapy Plus Anlotinib in Stage III(N2) Non-small-cell Lung Cancer,UNKNOWN,PHASE2,50.0
NCT01790295,Ruxolitinib Prior to Transplant in Patients With Myelofibrosis,TERMINATED,PHASE2,21.0
NCT02098772,Phase III Study Comparing Two Methods of Cardioplegia in Aortic Valve Surgery Custodiol-N Versus Custodiol,COMPLETED,PHASE3,530.0
NCT00931372,Lixisenatide for Restoration of Insulin Release in Subjects With Diabetes Mellitus Type 2,COMPLETED,PHASE1,22.0
NCT06972472,A Study of Orforglipron (LY3502970) in Participants With Obesity or Overweight and Type 2 Diabetes,ACTIVE_NOT_RECRUITING,PHASE3,600.0
NCT04969172,"A Phase II Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of Exosomes Overexpressing CD24 to Prevent Clinical Deterioration in Patients With Moderate or Severe COVID-19 Infection",UNKNOWN,PHASE2,155.0
NCT00328172,Efficacy and Safety of 3 Doses of BI1356 (Linagliptin) in Type 2 Diabetes Patients,COMPLETED,PHASE2,302.0
NCT00373672,Effects of Armodafinil on Cognition for Patients With Schizophrenia or Schizoaffective Disorder,COMPLETED,PHASE4,58.0
NCT02570672,Metformin for Preventing Frailty in High-risk Older Adults,COMPLETED,PHASE2,141.0
NCT03384095,Trial of Oral Hyaluronic Acid for the Prevention of Aromatase Inhibitor-Associated Arthralgias,WITHDRAWN,PHASE2,0.0
NCT03700359,A Study of Lobaplatin/Etoposide With or Without Anlotinib Maintenance Therapy in Patients With ES-SCLC,UNKNOWN,PHASE2,60.0
NCT01556659,LV Thrombus After Acute AMI: A Randomized Controlled Trial,TERMINATED,NA,25.0
NCT04087759,A Study of Bedaquiline 100 Milligram (mg) Tablets Administered as Different Test Formulations Compared to the Commercial Tablet Formulation (F001) in Healthy Adult Participants,COMPLETED,PHASE1,36.0
NCT04040959,Nicotinamide Riboside Supplementation for Treating Arterial Stiffness and Elevated Systolic Blood Pressure in Patients With Moderate to Severe CKD,ACTIVE_NOT_RECRUITING,PHASE2,118.0
NCT03902080,"Study to Evaluate the Efficacy, Safety and Tolerability of Vibegron in Men With Overactive Bladder (OAB) Symptoms on Pharmacological Therapy for Benign Prostatic Hyperplasia (BPH)",COMPLETED,PHASE3,1105.0
NCT02734680,IORT Followed by CCRT or SBRT for Locally Advanced Pancreatic Cancer,UNKNOWN,NA,70.0
NCT00955279,A Study to Evaluate the Safety and Effectiveness of Ustekinumab or Golimumab Administered Subcutaneously (SC) in Patients With Sarcoidosis,COMPLETED,PHASE2,173.0
NCT02302079,A Study to Evaluate ASP8232 in Reducing Central Retinal Thickness in Subjects With Diabetic Macular Edema (DME),COMPLETED,PHASE2,96.0
NCT05329779,Study on Allopregnanolone and Depression in Perimenopausal Women,TERMINATED,PHASE4,2.0
NCT00037479,Brain Imaging and Retreatment Study of Persistent Lyme Disease,COMPLETED,PHASE2,65.0
NCT00055679,Combination Chemotherapy in Treating Women With Stage I Breast Cancer,COMPLETED,PHASE3,1512.0
NCT04111159,A Trial Evaluating the Efficacy and Safety of HSK3486 Injectable Emulsion in Subjects Undergoing Fiberoptic Bronchoscopy,COMPLETED,PHASE3,267.0
NCT00436059,The Efficacy of Velcade on Bone Tissue During Myelomatosis (Bone Marrow Cancer),COMPLETED,PHASE2,20.0
NCT00403559,A 4 Week Study of Elidel (Pimecrolimus) for the Treatment of Seborrheic Dermatitis,COMPLETED,PHASE2,113.0
NCT03440359,Vaginal Progesterone Supplementation in Women With PCOS Undergoing Ovulation Induction With Letrozole,COMPLETED,PHASE2,52.0
NCT05874180,A Pharmacokinetic Study of DW6013 (FDC of Linagliptin and Metformin) in Healthy Adult Volunteers in Fed Condition,COMPLETED,PHASE1,31.0
NCT00588380,GLP1R Polymorphisms and Response to GLP1,COMPLETED,NA,88.0
NCT03682380,A Study of Seltorexant (JNJ-42847922) After Single-Dose Administration in Healthy Participants,COMPLETED,PHASE1,151.0
NCT00219180,Clinical Study to Evaluate Efficacy and Safety of Aliskiren (150mg & 300mg) Administered Alone and in Combo With Valsartan (160mg and 320mg) in Patients With High Blood Pressure,COMPLETED,PHASE3,1797.0
NCT04094896,TCHP Versus EC -THP as Neoadjuvant Treatment for HER2-Positive Breast Cancer,UNKNOWN,PHASE2,200.0
NCT00276796,"Paclitaxel, Topotecan, and Cisplatin in Treating Patients With Advanced, Persistent, or Recurrent Cervical Cancer",COMPLETED,PHASE2,66.0
NCT01447862,Vernakalant Versus Ibutilide In Recent-Onset Atrial Fibrillation,COMPLETED,PHASE4,101.0
NCT04935762,A Study of CST-103 Co-administered With CST-107 in Subjects With Parkinson's Disease Having Freezing of Gait (CLIN-012),WITHDRAWN,PHASE2,0.0
NCT02005562,OPERA Study: A Study of Two Dosing Regimens of CellCept (Mycophenolate Mofetil) in Kidney Transplant Patients.,COMPLETED,PHASE3,252.0
NCT00454662,Combination of OLMesartan and CCB or Low Dose Diuretics in High Risk Elderly Hypertensive Patients Study (COLM-Study),COMPLETED,PHASE4,5141.0
NCT03215446,Evaluate the Muscle Protection Effect of Sevoflurane Sedation in Vascular Surgery,COMPLETED,PHASE4,164.0
NCT04305327,Efficacy and Safety of Brodalumab in Adolescents From 12 to 17 Years of Age With Moderate-to-severe Plaque Psoriasis,TERMINATED,PHASE3,12.0
NCT01195727,Multiple-Dose Study Apixaban in Pediatric Subjects With an Indwelling Central Venous Catheter,TERMINATED,PHASE1,13.0
NCT00003327,Paclitaxel in Treating Patients With Recurrent or Refractory Head and Neck Cancer,UNKNOWN,PHASE2,60.0
NCT01510288,Phase 1 Trial of Ipilimumab and GVAX in Patients With Metastatic Castration-resistant Prostate Cancer,TERMINATED,PHASE1,28.0
NCT02580188,The Effect of Deep Neuromuscular Block on Surgical Condition During Laparoscopic Colorectal Surgery,COMPLETED,PHASE4,70.0
NCT07570888,"This is a Trial Designed to Evaluate the Combination of Nerandomilast With Mycophenolate Across a Wide Variety of Pulmonary Fibrosis Subtypes, With the Aim of Providing Clinicians With Assurance That This is an Appropriate Therapeutic Combination.",NOT_YET_RECRUITING,PHASE4,120.0
NCT04647903,"Study to Evaluate the Abuse Liability, Pharmacokinetics, Safety and Tolerability of an Abuse-Deterrent d-Amphetamine Sulfate Immediate Release Formulation (ADAIR)",COMPLETED,PHASE1,55.0
NCT00115427,Study of Liatermin (r-metHuGDNF) Administered by Bilateral Intraputaminal (IPu) Infusion to Subjects With Idiopathic Parkinson's Disease,COMPLETED,PHASE1,
NCT05663827,Ruxolitinib as add-on Therapy in Steroid-refractory Graft-vs-host Disease,COMPLETED,PHASE3,6.0
NCT05910827,"A Phase Ib/II Study of an Anti-HER3 Antibody, HMBD-001, With Cetuximab +/- Docetaxel in Advanced Squamous Cell Cancers",RECRUITING,PHASE1,398.0
NCT03579927,"CAR.CD19-CD28-zeta-2A-iCasp9-IL15-Transduced Cord Blood NK Cells, High-Dose Chemotherapy, and Stem Cell Transplant in Treating Participants With B-cell Lymphoma",WITHDRAWN,PHASE1,0.0
NCT00001027,A Study of Pentamidine in the Prevention of Pneumocystis Carinii Pneumonia (PCP) in HIV-Infected Children Who Cannot Take Trimethoprim-Sulfamethoxazole,COMPLETED,PHASE1,32.0
NCT05969561,Emergency Physician-performed Ultrasound-guided Femoral Nerve Blocks in Patients With Hip Fractures.,RECRUITING,NA,80.0
NCT01943461,Avelumab in Metastatic or Locally Advanced Solid Tumors (JAVELIN Solid Tumor JPN),COMPLETED,PHASE1,57.0
NCT00563342,Catheters Dysfunction Rate After Instillation of Ethanol 60% Lock Solution in Tunneled Silicone Catheter of Chronic Hemodialysis Patients,TERMINATED,PHASE2,40.0
NCT03587142,Buspirone for Early Satiety and Symptoms of Gastroparesis,COMPLETED,PHASE2,96.0
NCT01543386,Effects of Curcumin on Vascular Reactivity,COMPLETED,PHASE1,21.0
NCT06353386,Substudy 01A: Safety and Efficacy of Opevesostat (MK-5684)-Based Treatment Combinations or Opevesostat Alone in Participants With Metastatic Castration-resistant Prostate Cancer (mCRPC) (MK-5684-01A),RECRUITING,PHASE1,220.0
NCT01344070,Generic Formulations of Commonly-used Oral Drugs in Saudi Arabia:Interchangeability & Post-marketing Quality,COMPLETED,NA,500.0
NCT03600870,Midodrine in Hepatopulmonary Syndrome,COMPLETED,PHASE1,10.0
NCT01650870,"Safety, Efficacy, and Patient Preference of Split-Dose Crystalline Lactulose as a Preparation for Colonoscopy in Adults",COMPLETED,PHASE2,40.0
NCT06612970,A Study to Evaluate Single-dose of HB0056 in Healthy Adult Participants,RECRUITING,PHASE1,46.0
NCT02065570,Study to Evaluate Efficacy and Safety of Two Drug Regimens in Subjects With Moderate to Severe Crohn's Disease,COMPLETED,PHASE3,514.0
NCT04605770,"Pemetrexed, Cisplatin With Soft Tissue Sarcoma",RECRUITING,PHASE2,164.0
NCT06432673,The Attractive 2 Trial - Pharmacokinetics of ATR-258 Oral Capsule vs. Oral Solution Formulations in Healthy Volunteers,COMPLETED,PHASE1,21.0
NCT00992173,Efficacy and Safety of Ultratrace™ Iobenguane I 131 in Neuroblastoma,WITHDRAWN,PHASE2,0.0
NCT07592273,Surabgene Lomparvovec Administered in the Suprachoroidal Space in Adult Participants With Diabetic Retinopathy Without Center-Involved Diabetic Macular Edema,RECRUITING,PHASE2,576.0
NCT05127473,A Research Study of How a New Medicine NNC0365-3769 (Mim8) Works in the Body of Healthy People,COMPLETED,PHASE1,66.0
NCT00656773,"A Randomized, Double-blind Comparison of Morphine and Sufentanil for Prehospital Traumatic Severe Acute Pain",COMPLETED,PHASE3,108.0
NCT00507169,SVT-40776 in Patients Suffering From Overactive Bladder Syndrome,COMPLETED,PHASE2,
NCT01322269,A Study of HQK-1001 in Patients With Sickle Cell Disease,COMPLETED,PHASE2,52.0
NCT00566969,Cocaine Withdrawal and Pharmacotherapy Response,COMPLETED,NA,106.0
NCT06543069,"Sintilimab, Bevacizumab, Pemetrexed, and Cisplatin for Unresectable MPeM",RECRUITING,PHASE2,28.0
NCT06319469,The Additive Value of Pyridostigmine to Silodosin in Acute Urinary Retention,COMPLETED,PHASE2,140.0
NCT03260569,Inhaled Nitric Oxide in Brain Injury,COMPLETED,PHASE3,13.0
