study_id,title,status,phase,enrollment
NCT00658762,A 10-week Study Evaluating the Efficacy and Safety of PD 0332334 for the Treatment of Generalized Anxiety Disorder (3),TERMINATED,PHASE3,286.0
NCT04744662,ONL1204 Ophthalmic Solution in Patients With Geographic Atrophy Associated With Age-related Macular Degeneration,COMPLETED,PHASE1,28.0
NCT03968146,Erector Spinae Plane Block in Scoliotic Adolescents,COMPLETED,PHASE2,30.0
NCT03466346,SMART-DAPPER: Leveraging the Depression And Primary-care Partnership for Effectiveness-implementation Research Project,COMPLETED,NA,2162.0
NCT04976088,Clinical Trial With Diclofenac Sodium Medicated Plaster in Patients With Impact Injuries of the Limbs,COMPLETED,PHASE3,214.0
NCT00646503,Prospective Exploratory Study to Evaluate the Safety and Efficacy of Telbivudine in the Fifth Year of Treatment in Chinese Patients With Compensated Chronic Hepatitis B,COMPLETED,PHASE4,150.0
NCT01365403,A Study on The Effect of Multiple Dose Carbamazepine on Single Dose Pharmacokinetics of RO4917838 in Healthy Volunteers,COMPLETED,PHASE1,16.0
NCT06204003,Cannabinoids for Pain Management and Neuroprotection From Concussion,COMPLETED,PHASE1,34.0
NCT00811603,Trial Comparing the Optimal Timing of Antibiotic Prophylaxis at the Time of Cesarean Delivery,COMPLETED,PHASE3,50.0
NCT06224127,Treating Stress and Anxiety in Individuals With Alcohol Use Disorder (AUD),UNKNOWN,PHASE1,36.0
NCT01730027,A Study to Evaluate Efficacy and Safety of ADC3680 in Subjects With Inadequately-Controlled Asthma,COMPLETED,PHASE2,248.0
NCT03465527,Pre-phase Treatment Before R-CHOP Chemotherapy in Elderly Patients With Newly Diagnosed DLBCL,COMPLETED,PHASE2,37.0
NCT05990127,A Study of AK104/Tislelizumab With Chemotherapy as First-line Treatment in PD-L1 TPS < 1% Non-small Cell Lung Cancer,NOT_YET_RECRUITING,PHASE3,642.0
NCT03379727,Study to Assess the Safety and Efficacy of Midostaurin (PKC412) in Combination With Standard Chemotherapy During Induction and Consolidation Followed by 12 Months of Maintenance Monotherapy in Patients With Newly-diagnosed FMS-like Tyrosine 3 (FLT3) Kinase Receptor-mutated Acute Myeloid Leukemia.,COMPLETED,PHASE3,301.0
NCT02569827,Celgosivir or Modipafant as Treatment for Adult Participants With Uncomplicated Dengue Fever in Singapore,WITHDRAWN,PHASE1,0.0
NCT00916227,A Study of ARRY-614 in Patients With Low or Intermediate-1 Risk Myelodysplastic Syndrome,COMPLETED,PHASE1,45.0
NCT01728961,Pharmacology of Antimalarial Therapy With or Without Antiretroviral Therapy,TERMINATED,PHASE4,19.0
NCT01856361,Ramipril for the Treatment of Oligospermia,TERMINATED,NA,2.0
NCT05866861,A Study in Participants With Mild-to-moderate Systemic Lupus Erythematosus,COMPLETED,PHASE1,40.0
NCT05628961,"Study of Single Oral Doses of HOPO 14-1 Evaluating Safety, Tolerability, Pharmacokinetics",COMPLETED,PHASE1,42.0
NCT01679561,Intralipid Therapy for Recurrent Implantation Failure and Recurrent Miscarriages: Is it a Hope or Myth?A Randomized Clinical Trial,WITHDRAWN,PHASE4,0.0
NCT00773461,A Study of Tocilizumab in Combination With DMARD Therapy in Patients With Active Rheumatoid Arthritis.,COMPLETED,PHASE3,209.0
NCT00424242,Pemetrexed Disodium in the Cerebrospinal Fluid of Patients With Leptomeningeal Metastases,COMPLETED,EARLY_PHASE1,15.0
NCT04060342,GB1275 Monotherapy and in Combination With an Anti-PD1 Antibody in Patients With Specified Advanced Solid Tumors or in Combination With Standard of Care in Patients With Metastatic Pancreatic Adenocarcinoma,TERMINATED,PHASE1,61.0
NCT03891342,Effect of Fluid Challenge on Glycocalyx,COMPLETED,NA,120.0
NCT05933642,Diuretic Efficacy of Aminophylline and Furosemide Combination vs Furosemide Alone in Critically Ill Adults,UNKNOWN,PHASE2,132.0
NCT06361186,Proximod Pharmacokinetics In Healthy Subjects,COMPLETED,PHASE1,134.0
NCT05004142,"Study of Efficacy, Safety, and Pharmacokinetics of FCN-437c in Combination With Fulvestrant or Letrozole+Goserelin",UNKNOWN,PHASE2,70.0
NCT01353742,Lamivudine and Adefovir Dipivoxil Fixed Dose Combination,COMPLETED,PHASE1,40.0
NCT03771586,"A Study to Assess the Electrophysiology, Safety, Tolerability, and Pharmacokinetics of SAGE-718 Using a Ketamine Challenge in Healthy Subjects",COMPLETED,PHASE1,22.0
NCT01805570,Rapid Activity of Platelet Inhibitor Drugs Study 2,COMPLETED,PHASE4,50.0
NCT00621686,Bevacizumab and Sorafenib in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,PHASE2,54.0
NCT05228470,A Study of Elranatamab (PF-06863135) in Chinese Participants With Refractory Multiple Myeloma.,COMPLETED,PHASE2,39.0
NCT03733470,Hypoxic Pulmonary Vasoconstriction Pilot Study,COMPLETED,PHASE4,22.0
